level,area,population,source,source_year
district,Colombo,2375415,DCS Census of Population and Housing 2024 (final),2024
district,Gampaha,2436142,DCS Census of Population and Housing 2024 (final),2024
district,Kalutara,1305784,DCS Census of Population and Housing 2024 (final),2024
district,Kandy,1461895,DCS Census of Population and Housing 2024 (final),2024
district,Matale,526870,DCS Census of Population and Housing 2024 (final),2024
district,Nuwaraeliya,725280,DCS Census of Population and Housing 2024 (final),2024
district,Galle,1097372,DCS Census of Population and Housing 2024 (final),2024
district,Matara,837889,DCS Census of Population and Housing 2024 (final),2024
district,Hambantota,671418,DCS Census of Population and Housing 2024 (final),2024
district,Jaffna,594751,DCS Census of Population and Housing 2024 (final),2024
district,Kilinochchi,136710,DCS Census of Population and Housing 2024 (final),2024
district,Mannar,123756,DCS Census of Population and Housing 2024 (final),2024
district,Vavuniya,172312,DCS Census of Population and Housing 2024 (final),2024
district,Mullaitivu,122619,DCS Census of Population and Housing 2024 (final),2024
district,Batticaloa,595918,DCS Census of Population and Housing 2024 (final),2024
district,Ampara,744551,DCS Census of Population and Housing 2024 (final),2024
district,Trincomalee,442745,DCS Census of Population and Housing 2024 (final),2024
district,Kurunegala,1768156,DCS Census of Population and Housing 2024 (final),2024
district,Puttalam,818816,DCS Census of Population and Housing 2024 (final),2024
district,Anuradhapura,960080,DCS Census of Population and Housing 2024 (final),2024
district,Polonnaruwa,447530,DCS Census of Population and Housing 2024 (final),2024
district,Badulla,872307,DCS Census of Population and Housing 2024 (final),2024
district,Monaragala,527585,DCS Census of Population and Housing 2024 (final),2024
district,Ratnapura,1145423,DCS Census of Population and Housing 2024 (final),2024
district,Kegalle,870476,DCS Census of Population and Housing 2024 (final),2024
province,Western,6117341,DCS Census of Population and Housing 2024 (final),2024
province,Central,2714045,DCS Census of Population and Housing 2024 (final),2024
province,Southern,2606679,DCS Census of Population and Housing 2024 (final),2024
province,North Western,2586972,DCS Census of Population and Housing 2024 (final),2024
province,North Central,1407610,DCS Census of Population and Housing 2024 (final),2024
province,Uva,1399892,DCS Census of Population and Housing 2024 (final),2024
province,Eastern,1783214,DCS Census of Population and Housing 2024 (final),2024
province,Northern,1150148,DCS Census of Population and Housing 2024 (final),2024
province,Sabaragamuwa,2015899,DCS Census of Population and Housing 2024 (final),2024
